author_id,author_name,institution,country,conference,year
ICCV-2019-A004268,Victor Lempitsky,"Samsung AI Center, Moscow | Skolkovo Institute of Science and Technology",UNKNOWN,ICCV,2019
ICCV-2019-A004269,Bo Wan,"ShanghaiTech University, Shanghai, China",China,ICCV,2019
ICCV-2019-A004270,Desen Zhou,"ShanghaiTech University, Shanghai, China",China,ICCV,2019
ICCV-2019-A004271,Yongfei Liu,"ShanghaiTech University, Shanghai, China",China,ICCV,2019
ICCV-2019-A004272,Rongjie Li,"ShanghaiTech University, Shanghai, China",China,ICCV,2019
ICCV-2019-A004273,Xuming He,"ShanghaiTech University, Shanghai, China",China,ICCV,2019
ICCV-2019-A004274,Haodong Duan,CUHK-Sensetime Joint Lab,China,ICCV,2019
ICCV-2019-A004275,Kwan-Yee Lin,UNKNOWN,UNKNOWN,ICCV,2019
ICCV-2019-A004276,Sheng Jin,UNKNOWN,UNKNOWN,ICCV,2019
ICCV-2019-A004277,Wentao Liu,UNKNOWN,UNKNOWN,ICCV,2019
ICCV-2019-A004278,Chen Qian,UNKNOWN,UNKNOWN,ICCV,2019
ICCV-2019-A004279,Wanli Ouyang,"The University of Sydney, SenseTime Computer Vision Research Group, Australia",Australia,ICCV,2019
ICCV-2019-A004280,Wei Mao,Australian National University,Australia,ICCV,2019
ICCV-2019-A004281,Miaomiao Liu,Australian National University,Australia,ICCV,2019
ICCV-2019-A004282,Mathieu Salzmann,"CVLab, EPFL, Australia Centre for Robotic Vision",Australia,ICCV,2019
ICCV-2019-A004283,Hongdong Li,Australian National University,Australia,ICCV,2019
ICCV-2019-A004284,Jinkun Cao,Shanghai Jiao Tong University,China,ICCV,2019
ICCV-2019-A004285,Hongyang Tang,Shanghai Jiao Tong University,China,ICCV,2019
ICCV-2019-A004286,Hao-Shu Fang,Shanghai Jiao Tong University,China,ICCV,2019
ICCV-2019-A004287,Xiaoyong Shen,Shanghai Jiao Tong University,China,ICCV,2019
ICCV-2019-A004288,Cewu Lu,Shanghai Jiao Tong University,China,ICCV,2019
ICCV-2019-A004289,Yu-Wing Tai,Shanghai Jiao Tong University,China,ICCV,2019
ICCV-2019-A004290,Jiyang Gao,University of Southern California,United States,ICCV,2019
ICCV-2019-A004291,Jiang Wang,Google Could,United States,ICCV,2019
ICCV-2019-A004292,Shengyang Dai,Google Could,United States,ICCV,2019
ICCV-2019-A004293,Li-Jia Li,Stanford University,United States,ICCV,2019
ICCV-2019-A004294,Ram Nevatia,University of Southern California,United States,ICCV,2019
ICCV-2019-A004295,Qing Yu,"The University of Tokyo, Japan",Japan,ICCV,2019
ICCV-2019-A004296,Kiyoharu Aizawa,"The University of Tokyo, Japan",Japan,ICCV,2019
ICCV-2019-A004297,Yan Huang,"School of Electrical and Data Engineering, University of Technology Sydney, Australia",Australia,ICCV,2019
ICCV-2019-A004298,Qiang Wu,"School of Electrical and Data Engineering, University of Technology Sydney, Australia",Australia,ICCV,2019
ICCV-2019-A004299,JingSong Xu,"School of Electrical and Data Engineering, University of Technology Sydney, Australia",Australia,ICCV,2019
ICCV-2019-A004300,Yi Zhong,"School of Information and Electronics, Beijing Institute of Technology, China",China,ICCV,2019
ICCV-2019-A004301,Jing Nie,"School of Electrical and Information Engineering, Tianjin University",China,ICCV,2019
ICCV-2019-A004302,Rao Muhammad Anwer,"Inception Institute of Artificial Intelligence (IIAI), UAE",United Arab Emirates,ICCV,2019
ICCV-2019-A004303,Hisham Cholakkal,"Inception Institute of Artificial Intelligence (IIAI), UAE",United Arab Emirates,ICCV,2019
ICCV-2019-A004304,Fahad Shahbaz Khan,"Inception Institute of Artificial Intelligence (IIAI), UAE",United Arab Emirates,ICCV,2019
ICCV-2019-A004305,Yanwei Pang,"School of Electrical and Information Engineering, Tianjin University",China,ICCV,2019
ICCV-2019-A004306,Ling Shao,"Inception Institute of Artificial Intelligence (IIAI), UAE",United Arab Emirates,ICCV,2019
ICCV-2019-A004307,Guangyi Chen,"Department of Automation, Tsinghua University, China | State Key Lab of Intelligent Technologies and Systems, China | Beijing National Research Center for Information Science and Technology, China",China,ICCV,2019
