paper_id,title,author_ids,conference,year,source_url
NEURIPS-2020-P0054,Rankmax: An Adaptive Projection Alternative to the Softmax Function,NEURIPS-2020-A000228|NEURIPS-2020-A000229|NEURIPS-2020-A000230|NEURIPS-2020-A000231|NEURIPS-2020-A000232,NeurIPS,2020,https://proceedings.neurips.cc/paper_files/paper/2020/hash/070dbb6024b5ef93784428afc71f2146-Abstract.html
NEURIPS-2020-P0055,Online Agnostic Boosting via Regret Minimization,NEURIPS-2020-A000233|NEURIPS-2020-A000234|NEURIPS-2020-A000235|NEURIPS-2020-A000236,NeurIPS,2020,https://proceedings.neurips.cc/paper_files/paper/2020/hash/07168af6cb0ef9f78dae15739dd73255-Abstract.html
NEURIPS-2020-P0056,Causal Intervention for Weakly-Supervised Semantic Segmentation,NEURIPS-2020-A000237|NEURIPS-2020-A000238|NEURIPS-2020-A000239|NEURIPS-2020-A000240|NEURIPS-2020-A000241,NeurIPS,2020,https://proceedings.neurips.cc/paper_files/paper/2020/hash/07211688a0869d995947a8fb11b215d6-Abstract.html
NEURIPS-2020-P0057,Belief Propagation Neural Networks,NEURIPS-2020-A000242|NEURIPS-2020-A000243|NEURIPS-2020-A000244|NEURIPS-2020-A000245|NEURIPS-2020-A000246|NEURIPS-2020-A000247|NEURIPS-2020-A000248,NeurIPS,2020,https://proceedings.neurips.cc/paper_files/paper/2020/hash/07217414eb3fbe24d4e5b6cafb91ca18-Abstract.html
NEURIPS-2020-P0058,Over-parameterized Adversarial Training: An Analysis Overcoming the Curse of Dimensionality,NEURIPS-2020-A000249|NEURIPS-2020-A000250|NEURIPS-2020-A000251|NEURIPS-2020-A000252|NEURIPS-2020-A000253|NEURIPS-2020-A000254,NeurIPS,2020,https://proceedings.neurips.cc/paper_files/paper/2020/hash/0740bb92e583cd2b88ec7c59f985cb41-Abstract.html
NEURIPS-2020-P0059,Post-training Iterative Hierarchical Data Augmentation for Deep Networks,NEURIPS-2020-A000255|NEURIPS-2020-A000256,NeurIPS,2020,https://proceedings.neurips.cc/paper_files/paper/2020/hash/074177d3eb6371e32c16c55a3b8f706b-Abstract.html
NEURIPS-2020-P0060,Debugging Tests for Model Explanations,NEURIPS-2020-A000257|NEURIPS-2020-A000258|NEURIPS-2020-A000259|NEURIPS-2020-A000260,NeurIPS,2020,https://proceedings.neurips.cc/paper_files/paper/2020/hash/075b051ec3d22dac7b33f788da631fd4-Abstract.html
NEURIPS-2020-P0061,Robust compressed sensing using generative models,NEURIPS-2020-A000261|NEURIPS-2020-A000262|NEURIPS-2020-A000263|NEURIPS-2020-A000264,NeurIPS,2020,https://proceedings.neurips.cc/paper_files/paper/2020/hash/07cb5f86508f146774a2fac4373a8e50-Abstract.html
NEURIPS-2020-P0062,Fairness without Demographics through Adversarially Reweighted Learning,NEURIPS-2020-A000265|NEURIPS-2020-A000266|NEURIPS-2020-A000267|NEURIPS-2020-A000268|NEURIPS-2020-A000269|NEURIPS-2020-A000270|NEURIPS-2020-A000271|NEURIPS-2020-A000272,NeurIPS,2020,https://proceedings.neurips.cc/paper_files/paper/2020/hash/07fc15c9d169ee48573edd749d25945d-Abstract.html
NEURIPS-2020-P0063,Stochastic Latent Actor-Critic: Deep Reinforcement Learning with a Latent Variable Model,NEURIPS-2020-A000273|NEURIPS-2020-A000274|NEURIPS-2020-A000275|NEURIPS-2020-A000276,NeurIPS,2020,https://proceedings.neurips.cc/paper_files/paper/2020/hash/08058bf500242562c0d031ff830ad094-Abstract.html
