author_id,author_name,country,institution,conference,year,source_url,source_note
ICML-2023-A007710,Shengping Zhang,UNKNOWN,UNKNOWN,ICML,2023,https://proceedings.mlr.press/v202/zhang23ag.html,Parsed from PMLR proceedings page; affiliation enrichment pending from PDF first pages
ICML-2023-A007711,Quanling Meng,UNKNOWN,UNKNOWN,ICML,2023,https://proceedings.mlr.press/v202/zhang23ag.html,Parsed from PMLR proceedings page; affiliation enrichment pending from PDF first pages
ICML-2023-A007712,Qinglin Liu,UNKNOWN,UNKNOWN,ICML,2023,https://proceedings.mlr.press/v202/zhang23ag.html,Parsed from PMLR proceedings page; affiliation enrichment pending from PDF first pages
ICML-2023-A007713,Liqiang Nie,UNKNOWN,UNKNOWN,ICML,2023,https://proceedings.mlr.press/v202/zhang23ag.html,Parsed from PMLR proceedings page; affiliation enrichment pending from PDF first pages
ICML-2023-A007714,Bineng Zhong,UNKNOWN,UNKNOWN,ICML,2023,https://proceedings.mlr.press/v202/zhang23ag.html,Parsed from PMLR proceedings page; affiliation enrichment pending from PDF first pages
ICML-2023-A007715,Xiaopeng Fan,UNKNOWN,UNKNOWN,ICML,2023,https://proceedings.mlr.press/v202/zhang23ag.html,Parsed from PMLR proceedings page; affiliation enrichment pending from PDF first pages
ICML-2023-A007716,Rongrong Ji,UNKNOWN,"Department of Artificial Intelligence, School of",ICML,2023,https://proceedings.mlr.press/v202/zhang23ag/zhang23ag.pdf,Affiliation parsed from local first-page text extracted from paper PDF
ICML-2023-A007717,Fangzhao Zhang,UNKNOWN,"Department of Electrical Engineering, Stanford University.",ICML,2023,https://proceedings.mlr.press/v202/zhang23ah/zhang23ah.pdf,Affiliation parsed from local first-page text extracted from paper PDF
ICML-2023-A007718,Mert Pilanci,UNKNOWN,"Department of Electrical Engineering, Stanford University.",ICML,2023,https://proceedings.mlr.press/v202/zhang23ah/zhang23ah.pdf,Affiliation parsed from local first-page text extracted from paper PDF
ICML-2023-A007719,Haoran Zhang,UNKNOWN,UNKNOWN,ICML,2023,https://proceedings.mlr.press/v202/zhang23ai.html,Parsed from PMLR proceedings page; affiliation enrichment pending from PDF first pages
ICML-2023-A007720,Harvineet Singh,UNKNOWN,UNKNOWN,ICML,2023,https://proceedings.mlr.press/v202/zhang23ai.html,Parsed from PMLR proceedings page; affiliation enrichment pending from PDF first pages
ICML-2023-A007721,Marzyeh Ghassemi,UNKNOWN,UNKNOWN,ICML,2023,https://proceedings.mlr.press/v202/zhang23ai.html,Parsed from PMLR proceedings page; affiliation enrichment pending from PDF first pages
ICML-2023-A007722,Shalmali Joshi,UNKNOWN,UNKNOWN,ICML,2023,https://proceedings.mlr.press/v202/zhang23ai.html,Parsed from PMLR proceedings page; affiliation enrichment pending from PDF first pages
ICML-2023-A007723,Fengxue Zhang,UNKNOWN,"Departmet of Computer Science, University of Chicago",ICML,2023,https://proceedings.mlr.press/v202/zhang23aj/zhang23aj.pdf,Affiliation parsed from local first-page text extracted from paper PDF
ICML-2023-A007724,Jialin Song,UNKNOWN,UNKNOWN,ICML,2023,https://proceedings.mlr.press/v202/zhang23aj.html,Parsed from PMLR proceedings page; affiliation enrichment pending from PDF first pages
ICML-2023-A007725,James C Bowden,UNKNOWN,UNKNOWN,ICML,2023,https://proceedings.mlr.press/v202/zhang23aj.html,Parsed from PMLR proceedings page; affiliation enrichment pending from PDF first pages
ICML-2023-A007726,Alexander Ladd,UNKNOWN,"Lawrence Livermore National Laboratory, California, U.S..",ICML,2023,https://proceedings.mlr.press/v202/zhang23aj/zhang23aj.pdf,Affiliation parsed from local first-page text extracted from paper PDF
ICML-2023-A007727,Yisong Yue,UNKNOWN,California Institute of,ICML,2023,https://proceedings.mlr.press/v202/zhang23aj/zhang23aj.pdf,Affiliation parsed from local first-page text extracted from paper PDF
