paper_id,author_id,author_name,institution_candidate,country_candidate,first_page_text_path
CVPR-2015-P0120,CVPR-2015-A000447,Charles Rosenberg,"Stanford University, Google, University of Michigan",United States,data/raw/cvpr/2015/first_pages/CVPR-2015-P0120.txt
CVPR-2015-P0120,CVPR-2015-A000448,Li Fei-Fei,"Stanford University, Google, University of Michigan",United States,data/raw/cvpr/2015/first_pages/CVPR-2015-P0120.txt
CVPR-2015-P0121,CVPR-2015-A000449,Yong Du,"Center for Research on Intelligent Perception and Computing, CRIPAC Nat’l Lab of Pattern Recognition, Institute of Automation, Chinese Academy of Sciences",China,data/raw/cvpr/2015/first_pages/CVPR-2015-P0121.txt
CVPR-2015-P0121,CVPR-2015-A000450,Wei Wang,"Center for Research on Intelligent Perception and Computing, CRIPAC Nat’l Lab of Pattern Recognition, Institute of Automation, Chinese Academy of Sciences",China,data/raw/cvpr/2015/first_pages/CVPR-2015-P0121.txt
CVPR-2015-P0121,CVPR-2015-A000451,Liang Wang,"Center for Research on Intelligent Perception and Computing, CRIPAC Nat’l Lab of Pattern Recognition, Institute of Automation, Chinese Academy of Sciences",China,data/raw/cvpr/2015/first_pages/CVPR-2015-P0121.txt
CVPR-2015-P0122,CVPR-2015-A000452,Bo Li,"Northwestern Polytechnical University, China | University of Adelaide, Australia",China | Australia,data/raw/cvpr/2015/first_pages/CVPR-2015-P0122.txt
CVPR-2015-P0122,CVPR-2015-A000453,Chunhua Shen,"University of Adelaide, Australia | Australian Centre for Robotic Vision",Australia,data/raw/cvpr/2015/first_pages/CVPR-2015-P0122.txt
CVPR-2015-P0122,CVPR-2015-A000454,Yuchao Dai,Australian National University,Australia,data/raw/cvpr/2015/first_pages/CVPR-2015-P0122.txt
CVPR-2015-P0122,CVPR-2015-A000455,Anton van den Hengel,"University of Adelaide, Australia | Australian Centre for Robotic Vision",Australia,data/raw/cvpr/2015/first_pages/CVPR-2015-P0122.txt
CVPR-2015-P0122,CVPR-2015-A000456,Mingyi He,"Northwestern Polytechnical University, China",China,data/raw/cvpr/2015/first_pages/CVPR-2015-P0122.txt
