paper_id,author_id,author_name,variant,variant_priority,variant_coverage,author_count,institution_candidate,candidate_score,first_page_text_path,source_url
ECCV-2016-P0008,ECCV-2016-A000034,Jiashi Feng,shared,3,5,5,"Sun Yat-sen University, Guangzhou, China",4,data/raw/eccv/2016/first_pages/ECCV-2016-P0008.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0008,ECCV-2016-A000035,Liang Lin,shared,3,5,5,"Sun Yat-sen University, Guangzhou, China",4,data/raw/eccv/2016/first_pages/ECCV-2016-P0008.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0008,ECCV-2016-A000036,Shuicheng Yan,shared,3,5,5,"Sun Yat-sen University, Guangzhou, China",4,data/raw/eccv/2016/first_pages/ECCV-2016-P0008.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0009,ECCV-2016-A000037,Ting Liu,numbered,0,4,5,Scientiﬁc Computing and Imaging Institute,2,data/raw/eccv/2016/first_pages/ECCV-2016-P0009.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0009,ECCV-2016-A000038,Miaomiao Zhang,numbered,0,4,5,UNKNOWN,-1000,data/raw/eccv/2016/first_pages/ECCV-2016-P0009.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0009,ECCV-2016-A000039,Mehran Javanmardi,numbered,0,4,5,Scientiﬁc Computing and Imaging Institute,2,data/raw/eccv/2016/first_pages/ECCV-2016-P0009.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0009,ECCV-2016-A000040,Nisha Ramesh,numbered,0,4,5,Scientiﬁc Computing and Imaging Institute,2,data/raw/eccv/2016/first_pages/ECCV-2016-P0009.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0009,ECCV-2016-A000041,Tolga Tasdizen,numbered,0,4,5,Scientiﬁc Computing and Imaging Institute,2,data/raw/eccv/2016/first_pages/ECCV-2016-P0009.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0009,ECCV-2016-A000037,Ting Liu,stacked,2,0,5,UNKNOWN,-1000,data/raw/eccv/2016/first_pages/ECCV-2016-P0009.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0009,ECCV-2016-A000038,Miaomiao Zhang,stacked,2,0,5,UNKNOWN,-1000,data/raw/eccv/2016/first_pages/ECCV-2016-P0009.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0009,ECCV-2016-A000039,Mehran Javanmardi,stacked,2,0,5,UNKNOWN,-1000,data/raw/eccv/2016/first_pages/ECCV-2016-P0009.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0009,ECCV-2016-A000040,Nisha Ramesh,stacked,2,0,5,UNKNOWN,-1000,data/raw/eccv/2016/first_pages/ECCV-2016-P0009.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0009,ECCV-2016-A000041,Tolga Tasdizen,stacked,2,0,5,UNKNOWN,-1000,data/raw/eccv/2016/first_pages/ECCV-2016-P0009.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0009,ECCV-2016-A000037,Ting Liu,shared,3,5,5,"Scientiﬁc Computing and Imaging Institute, University of Utah, Salt Lake City, UT, USA",6,data/raw/eccv/2016/first_pages/ECCV-2016-P0009.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
